field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,820,15,4,16,785,0.0183,0.0049
a_type,date,427,25,13,23,366,0.0585,0.0304
a_type,other,234,10,7,12,205,0.0427,0.0299
a_type,place,200,6,5,13,176,0.03,0.025
a_type,number,153,5,3,3,142,0.0327,0.0196
a_type,organization,88,5,3,4,76,0.0568,0.0341
a_type,title,66,2,1,2,61,0.0303,0.0152
a_type,event,12,0,0,1,11,0.0,0.0
q_type,who,861,19,7,18,817,0.0221,0.0081
q_type,when,426,25,12,22,367,0.0587,0.0282
q_type,what,324,11,9,10,294,0.034,0.0278
q_type,where,172,4,3,8,157,0.0233,0.0174
q_type,how,121,4,3,3,111,0.0331,0.0248
q_type,which,54,5,1,9,39,0.0926,0.0185
q_type,other,40,0,1,4,35,0.0,0.025
q_type,why,2,0,0,0,2,0.0,0.0
specificity,single,1802,58,32,70,1642,0.0322,0.0178
specificity,multiple_valid,198,10,4,4,180,0.0505,0.0202
topic,pop_culture,874,21,8,9,836,0.024,0.0092
topic,history,282,13,9,18,242,0.0461,0.0319
topic,sports,258,14,10,11,223,0.0543,0.0388
topic,science,188,13,6,12,157,0.0691,0.0319
topic,politics,133,4,1,10,118,0.0301,0.0075
topic,other,107,0,1,5,101,0.0,0.0093
topic,geography,91,2,1,8,80,0.022,0.011
topic,literature,67,1,0,1,65,0.0149,0.0
