field,value,n,p_rp,p_sft,gap_pp
a_type,person,820,0.039,0.0329,0.61
a_type,date,427,0.0187,0.0187,0.0
a_type,other,234,0.0855,0.0855,0.0
a_type,place,200,0.1,0.07,3.0
a_type,number,153,0.0588,0.0458,1.31
a_type,organization,88,0.1591,0.0795,7.95
a_type,title,66,0.0758,0.0606,1.52
a_type,event,12,0.0,0.0833,-8.33
q_type,who,861,0.0499,0.0348,1.51
q_type,when,426,0.0188,0.0188,0.0
q_type,what,324,0.071,0.0617,0.93
q_type,where,172,0.0581,0.0523,0.58
q_type,how,121,0.0661,0.0413,2.48
q_type,which,54,0.1296,0.1481,-1.85
q_type,other,40,0.225,0.2,2.5
q_type,why,2,0.0,0.0,0.0
specificity,single,1802,0.0505,0.0416,0.89
specificity,multiple_valid,198,0.0859,0.0657,2.02
topic,pop_culture,874,0.0252,0.0263,-0.11
topic,history,282,0.0674,0.0426,2.48
topic,sports,258,0.0775,0.0581,1.94
topic,science,188,0.1011,0.0957,0.53
topic,politics,133,0.0677,0.0451,2.26
topic,other,107,0.0654,0.0561,0.93
topic,geography,91,0.1099,0.0879,2.2
topic,literature,67,0.0299,0.0,2.99
