field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,820,8,4,9,799,0.0098,0.0049
a_type,date,427,4,7,1,415,0.0094,0.0164
a_type,other,234,6,10,8,210,0.0256,0.0427
a_type,place,200,9,1,11,179,0.045,0.005
a_type,number,153,2,3,2,146,0.0131,0.0196
a_type,organization,88,3,1,1,83,0.0341,0.0114
a_type,title,66,4,0,0,62,0.0606,0.0
a_type,event,12,0,0,0,12,0.0,0.0
q_type,who,861,13,6,9,833,0.0151,0.007
q_type,when,426,4,6,1,415,0.0094,0.0141
q_type,what,324,10,8,5,301,0.0309,0.0247
q_type,where,172,6,2,9,155,0.0349,0.0116
q_type,how,121,2,2,2,115,0.0165,0.0165
q_type,which,54,0,1,2,51,0.0,0.0185
q_type,other,40,1,1,4,34,0.025,0.025
q_type,why,2,0,0,0,2,0.0,0.0
specificity,single,1802,26,24,23,1729,0.0144,0.0133
specificity,multiple_valid,198,10,2,9,177,0.0505,0.0101
topic,pop_culture,874,10,7,8,849,0.0114,0.008
topic,history,282,4,6,3,269,0.0142,0.0213
topic,sports,258,5,2,0,251,0.0194,0.0078
topic,science,188,9,9,10,160,0.0479,0.0479
topic,politics,133,1,1,2,129,0.0075,0.0075
topic,other,107,2,0,6,99,0.0187,0.0
topic,geography,91,5,1,3,82,0.0549,0.011
topic,literature,67,0,0,0,67,0.0,0.0
