field,value,n,p_rp,p_sft,gap_pp
a_type,person,820,0.0085,0.0085,0.0
a_type,date,427,0.007,0.0094,-0.23
a_type,other,234,0.0513,0.0598,-0.85
a_type,place,200,0.035,0.055,-2.0
a_type,number,153,0.0458,0.0327,1.31
a_type,organization,88,0.0795,0.0682,1.14
a_type,title,66,0.0758,0.0303,4.55
a_type,event,12,0.0,0.0,0.0
q_type,who,861,0.0163,0.0163,0.0
q_type,when,426,0.0094,0.0094,0.0
q_type,what,324,0.037,0.037,0.0
q_type,where,172,0.0291,0.0349,-0.58
q_type,how,121,0.0496,0.0413,0.83
q_type,which,54,0.0926,0.1111,-1.85
q_type,other,40,0.05,0.05,0.0
q_type,why,2,0.0,0.0,0.0
specificity,single,1802,0.0189,0.0183,0.06
specificity,multiple_valid,198,0.0707,0.0808,-1.01
topic,pop_culture,874,0.0149,0.0046,1.03
topic,history,282,0.0248,0.0142,1.06
topic,sports,258,0.031,0.0465,-1.55
topic,science,188,0.0372,0.0479,-1.06
topic,politics,133,0.0301,0.0526,-2.26
topic,other,107,0.0374,0.0467,-0.93
topic,geography,91,0.044,0.0769,-3.3
topic,literature,67,0.0149,0.0149,0.0
