field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,820,5,5,2,808,0.0061,0.0061
a_type,date,427,1,2,2,422,0.0023,0.0047
a_type,other,234,8,10,4,212,0.0342,0.0427
a_type,place,200,2,6,5,187,0.01,0.03
a_type,number,153,4,2,3,144,0.0261,0.0131
a_type,organization,88,4,3,3,78,0.0455,0.0341
a_type,title,66,3,0,2,61,0.0455,0.0
a_type,event,12,0,0,0,12,0.0,0.0
q_type,who,861,9,9,5,838,0.0105,0.0105
q_type,when,426,2,2,2,420,0.0047,0.0047
q_type,what,324,8,8,4,304,0.0247,0.0247
q_type,where,172,2,3,3,164,0.0116,0.0174
q_type,how,121,3,2,3,113,0.0248,0.0165
q_type,which,54,1,2,4,47,0.0185,0.037
q_type,other,40,2,2,0,36,0.05,0.05
q_type,why,2,0,0,0,2,0.0,0.0
specificity,single,1802,21,20,13,1748,0.0117,0.0111
specificity,multiple_valid,198,6,8,8,176,0.0303,0.0404
topic,pop_culture,874,10,1,3,860,0.0114,0.0011
topic,history,282,5,2,2,273,0.0177,0.0071
topic,sports,258,4,8,4,242,0.0155,0.031
topic,science,188,4,6,3,175,0.0213,0.0319
topic,politics,133,2,5,2,124,0.015,0.0376
topic,other,107,2,3,2,100,0.0187,0.028
topic,geography,91,0,3,4,84,0.0,0.033
topic,literature,67,0,0,1,66,0.0,0.0
