field,value,n,p_rp,p_sft,gap_pp
a_type,person,820,0.0268,0.0195,0.73
a_type,date,427,0.0304,0.0351,-0.47
a_type,other,234,0.047,0.0299,1.71
a_type,place,200,0.02,0.025,-0.5
a_type,number,153,0.0131,0.0327,-1.96
a_type,organization,88,0.0455,0.0114,3.41
a_type,title,66,0.0606,0.0303,3.03
a_type,event,12,0.0833,0.0,8.33
q_type,who,861,0.0314,0.0209,1.05
q_type,when,426,0.0282,0.0329,-0.47
q_type,what,324,0.0309,0.0247,0.62
q_type,where,172,0.0116,0.0174,-0.58
q_type,how,121,0.0165,0.0413,-2.48
q_type,which,54,0.0556,0.0185,3.7
q_type,other,40,0.125,0.05,7.5
q_type,why,2,0.0,0.0,0.0
specificity,single,1802,0.03,0.0239,0.61
specificity,multiple_valid,198,0.0354,0.0404,-0.51
topic,pop_culture,874,0.0195,0.0114,0.8
topic,history,282,0.0284,0.039,-1.06
topic,sports,258,0.0581,0.0388,1.94
topic,science,188,0.0479,0.0319,1.6
topic,politics,133,0.0301,0.0301,0.0
topic,other,107,0.028,0.0467,-1.87
topic,geography,91,0.044,0.044,0.0
topic,literature,67,0.0149,0.0149,0.0
