field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,820,14,8,8,790,0.0171,0.0098
a_type,date,427,8,10,5,404,0.0187,0.0234
a_type,other,234,8,4,3,219,0.0342,0.0171
a_type,place,200,2,3,2,193,0.01,0.015
a_type,number,153,0,3,2,148,0.0,0.0196
a_type,organization,88,4,1,0,83,0.0455,0.0114
a_type,title,66,3,1,1,61,0.0455,0.0152
a_type,event,12,1,0,0,11,0.0833,0.0
q_type,who,861,18,9,9,825,0.0209,0.0105
q_type,when,426,8,10,4,404,0.0188,0.0235
q_type,what,324,8,6,2,308,0.0247,0.0185
q_type,where,172,0,1,2,169,0.0,0.0058
q_type,how,121,0,3,2,116,0.0,0.0248
q_type,which,54,3,1,0,50,0.0556,0.0185
q_type,other,40,3,0,2,35,0.075,0.0
q_type,why,2,0,0,0,2,0.0,0.0
specificity,single,1802,35,24,19,1724,0.0194,0.0133
specificity,multiple_valid,198,5,6,2,185,0.0253,0.0303
topic,pop_culture,874,13,6,4,851,0.0149,0.0069
topic,history,282,4,7,4,267,0.0142,0.0248
topic,sports,258,10,5,5,238,0.0388,0.0194
topic,science,188,6,3,3,176,0.0319,0.016
topic,politics,133,3,3,1,126,0.0226,0.0226
topic,other,107,0,2,3,102,0.0,0.0187
topic,geography,91,3,3,1,84,0.033,0.033
topic,literature,67,1,1,0,65,0.0149,0.0149
