field,value,n,p_rp,p_sft,gap_pp
a_type,person,820,0.0098,0.0061,0.37
a_type,date,427,0.0328,0.0304,0.23
a_type,other,234,0.047,0.0342,1.28
a_type,place,200,0.02,0.035,-1.5
a_type,number,153,0.0196,0.0327,-1.31
a_type,organization,88,0.0568,0.0682,-1.14
a_type,title,66,0.0455,0.0303,1.52
a_type,event,12,0.0,0.0833,-8.33
q_type,who,861,0.0128,0.0139,-0.12
q_type,when,426,0.0329,0.0282,0.47
q_type,what,324,0.0401,0.0216,1.85
q_type,where,172,0.0174,0.0233,-0.58
q_type,how,121,0.0248,0.0413,-1.65
q_type,which,54,0.0185,0.0741,-5.56
q_type,other,40,0.075,0.075,0.0
q_type,why,2,0.0,0.0,0.0
specificity,single,1802,0.0205,0.0216,-0.11
specificity,multiple_valid,198,0.0556,0.0404,1.52
topic,pop_culture,874,0.0092,0.0103,-0.11
topic,history,282,0.0355,0.0248,1.06
topic,sports,258,0.0388,0.0426,-0.39
topic,science,188,0.0532,0.0585,-0.53
topic,politics,133,0.0226,0.0226,0.0
topic,other,107,0.0467,0.028,1.87
topic,geography,91,0.022,0.033,-1.1
topic,literature,67,0.0,0.0,0.0
