field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,820,6,3,2,809,0.0073,0.0037
a_type,date,427,9,8,5,405,0.0211,0.0187
a_type,other,234,7,4,4,219,0.0299,0.0171
a_type,place,200,4,7,0,189,0.02,0.035
a_type,number,153,1,3,2,147,0.0065,0.0196
a_type,organization,88,2,3,3,80,0.0227,0.0341
a_type,title,66,3,2,0,61,0.0455,0.0303
a_type,event,12,0,1,0,11,0.0,0.0833
q_type,who,861,7,8,4,842,0.0081,0.0093
q_type,when,426,9,7,5,405,0.0211,0.0164
q_type,what,324,9,3,4,308,0.0278,0.0093
q_type,where,172,3,4,0,165,0.0174,0.0233
q_type,how,121,1,3,2,115,0.0083,0.0248
q_type,which,54,0,3,1,50,0.0,0.0556
q_type,other,40,3,3,0,34,0.075,0.075
q_type,why,2,0,0,0,2,0.0,0.0
specificity,single,1802,24,26,13,1739,0.0133,0.0144
specificity,multiple_valid,198,8,5,3,182,0.0404,0.0253
topic,pop_culture,874,4,5,4,861,0.0046,0.0057
topic,history,282,8,5,2,267,0.0284,0.0177
topic,sports,258,8,9,2,239,0.031,0.0349
topic,science,188,5,6,5,172,0.0266,0.0319
topic,politics,133,1,1,2,129,0.0075,0.0075
topic,other,107,4,2,1,100,0.0374,0.0187
topic,geography,91,2,3,0,86,0.022,0.033
topic,literature,67,0,0,0,67,0.0,0.0
