field,value,n,p_rp,p_sft,gap_pp
a_type,person,1272,0.0299,0.0267,0.31
a_type,date,652,0.0675,0.0613,0.61
a_type,other,573,0.0593,0.0558,0.35
a_type,place,441,0.0567,0.0703,-1.36
a_type,number,272,0.0588,0.0294,2.94
a_type,organization,147,0.068,0.0612,0.68
a_type,title,147,0.0272,0.0204,0.68
a_type,event,28,0.0357,0.0357,0.0
q_type,who,1371,0.0328,0.0292,0.36
q_type,what,756,0.0489,0.0489,0.0
q_type,when,663,0.0649,0.0618,0.3
q_type,where,374,0.0508,0.0588,-0.8
q_type,how,176,0.0682,0.0227,4.55
q_type,which,100,0.11,0.08,3.0
q_type,other,80,0.0625,0.075,-1.25
q_type,why,12,0.0,0.0,0.0
specificity,single,2732,0.045,0.0414,0.37
specificity,multiple_valid,800,0.0612,0.0563,0.5
topic,pop_culture,1350,0.0207,0.0178,0.3
topic,history,485,0.0515,0.0392,1.24
topic,science,441,0.0658,0.059,0.68
topic,sports,439,0.1071,0.0843,2.28
topic,politics,265,0.0717,0.0755,-0.38
topic,geography,205,0.0439,0.0683,-2.44
topic,other,203,0.0542,0.064,-0.99
topic,literature,144,0.0278,0.0347,-0.69
