field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,1272,16,12,22,1222,0.0126,0.0094
a_type,date,652,26,22,18,586,0.0399,0.0337
a_type,other,573,15,13,19,526,0.0262,0.0227
a_type,place,441,8,14,17,402,0.0181,0.0317
a_type,number,272,11,3,5,253,0.0404,0.011
a_type,organization,147,6,5,4,132,0.0408,0.034
a_type,title,147,3,2,1,141,0.0204,0.0136
a_type,event,28,0,0,1,27,0.0,0.0
q_type,who,1371,20,15,25,1311,0.0146,0.0109
q_type,what,756,15,15,22,704,0.0198,0.0198
q_type,when,663,24,22,19,598,0.0362,0.0332
q_type,where,374,6,9,13,346,0.016,0.0241
q_type,how,176,11,3,1,161,0.0625,0.017
q_type,which,100,6,3,5,86,0.06,0.03
q_type,other,80,3,4,2,71,0.0375,0.05
q_type,why,12,0,0,0,12,0.0,0.0
specificity,single,2732,63,53,60,2556,0.0231,0.0194
specificity,multiple_valid,800,22,18,27,733,0.0275,0.0225
topic,pop_culture,1350,16,12,12,1310,0.0119,0.0089
topic,history,485,16,10,9,450,0.033,0.0206
topic,science,441,13,10,16,402,0.0295,0.0227
topic,sports,439,24,14,23,378,0.0547,0.0319
topic,politics,265,6,7,13,239,0.0226,0.0264
topic,geography,205,1,6,8,190,0.0049,0.0293
topic,other,203,6,8,5,184,0.0296,0.0394
topic,literature,144,3,4,1,136,0.0208,0.0278
