field,value,n,p_rp,p_sft,gap_pp
a_type,person,1272,0.0322,0.0197,1.26
a_type,date,652,0.0215,0.023,-0.15
a_type,other,573,0.0506,0.0489,0.17
a_type,place,441,0.0499,0.0544,-0.45
a_type,number,272,0.0257,0.0221,0.37
a_type,organization,147,0.0816,0.0748,0.68
a_type,title,147,0.0204,0.0204,0.0
a_type,event,28,0.0714,0.0,7.14
q_type,who,1371,0.0379,0.0241,1.39
q_type,what,756,0.0331,0.0423,-0.93
q_type,when,663,0.0241,0.0226,0.15
q_type,where,374,0.0401,0.0374,0.27
q_type,how,176,0.0398,0.0341,0.57
q_type,which,100,0.08,0.05,3.0
q_type,other,80,0.0875,0.0875,0.0
q_type,why,12,0.0,0.0,0.0
specificity,single,2732,0.0329,0.0296,0.33
specificity,multiple_valid,800,0.05,0.0387,1.13
topic,pop_culture,1350,0.0215,0.0178,0.37
topic,history,485,0.0268,0.0247,0.21
topic,science,441,0.0544,0.0635,-0.91
topic,sports,439,0.0661,0.0524,1.37
topic,politics,265,0.0566,0.0226,3.4
topic,geography,205,0.0488,0.0585,-0.98
topic,other,203,0.0443,0.0197,2.46
topic,literature,144,0.0069,0.0208,-1.39
