field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,1272,25,9,16,1222,0.0197,0.0071
a_type,date,652,9,10,5,628,0.0138,0.0153
a_type,other,573,21,20,8,524,0.0366,0.0349
a_type,place,441,12,14,10,405,0.0272,0.0317
a_type,number,272,7,6,0,259,0.0257,0.0221
a_type,organization,147,8,7,4,128,0.0544,0.0476
a_type,title,147,2,2,1,142,0.0136,0.0136
a_type,event,28,2,0,0,26,0.0714,0.0
q_type,who,1371,31,12,21,1307,0.0226,0.0088
q_type,what,756,15,22,10,709,0.0198,0.0291
q_type,when,663,11,10,5,637,0.0166,0.0151
q_type,where,374,11,10,4,349,0.0294,0.0267
q_type,how,176,7,6,0,163,0.0398,0.0341
q_type,which,100,7,4,1,88,0.07,0.04
q_type,other,80,4,4,3,69,0.05,0.05
q_type,why,12,0,0,0,12,0.0,0.0
specificity,single,2732,58,49,32,2593,0.0212,0.0179
specificity,multiple_valid,800,28,19,12,741,0.035,0.0238
topic,pop_culture,1350,23,18,6,1303,0.017,0.0133
topic,history,485,9,8,4,464,0.0186,0.0165
topic,science,441,16,20,8,397,0.0363,0.0454
topic,sports,439,14,8,15,402,0.0319,0.0182
topic,politics,265,11,2,4,248,0.0415,0.0075
topic,geography,205,5,7,5,188,0.0244,0.0341
topic,other,203,7,2,2,192,0.0345,0.0099
topic,literature,144,1,3,0,140,0.0069,0.0208
