field,value,n,p_rp,p_sft,gap_pp
a_type,person,1272,0.0102,0.0102,0.0
a_type,date,652,0.0077,0.0031,0.46
a_type,other,573,0.0541,0.0471,0.7
a_type,place,441,0.0317,0.0227,0.91
a_type,number,272,0.0441,0.0184,2.57
a_type,organization,147,0.068,0.0612,0.68
a_type,title,147,0.034,0.0136,2.04
a_type,event,28,0.0357,0.0,3.57
q_type,who,1371,0.0168,0.0168,0.0
q_type,what,756,0.0516,0.0384,1.32
q_type,when,663,0.0106,0.003,0.75
q_type,where,374,0.0241,0.016,0.8
q_type,how,176,0.0341,0.0284,0.57
q_type,which,100,0.03,0.02,1.0
q_type,other,80,0.05,0.0125,3.75
q_type,why,12,0.0,0.0,0.0
specificity,single,2732,0.0231,0.0165,0.66
specificity,multiple_valid,800,0.035,0.0288,0.63
topic,pop_culture,1350,0.0074,0.0059,0.15
topic,history,485,0.0186,0.0124,0.62
topic,science,441,0.0476,0.0295,1.81
topic,sports,439,0.0273,0.0228,0.46
topic,politics,265,0.0566,0.0377,1.89
topic,geography,205,0.0439,0.0439,0.0
topic,other,203,0.0542,0.0443,0.99
topic,literature,144,0.0278,0.0208,0.69
