field,value,n,p_rp,p_sft,gap_pp
a_type,person,1272,0.0267,0.0252,0.16
a_type,date,652,0.0353,0.0322,0.31
a_type,other,573,0.0489,0.0401,0.87
a_type,place,441,0.034,0.0272,0.68
a_type,number,272,0.0478,0.0441,0.37
a_type,organization,147,0.0612,0.0544,0.68
a_type,title,147,0.0272,0.0136,1.36
a_type,event,28,0.0714,0.0,7.14
q_type,who,1371,0.0292,0.0284,0.07
q_type,what,756,0.0529,0.037,1.59
q_type,when,663,0.0347,0.0302,0.45
q_type,where,374,0.0267,0.0241,0.27
q_type,how,176,0.0568,0.0398,1.7
q_type,which,100,0.02,0.05,-3.0
q_type,other,80,0.0375,0.025,1.25
q_type,why,12,0.0,0.0,0.0
specificity,single,2732,0.0318,0.0278,0.4
specificity,multiple_valid,800,0.0512,0.0425,0.87
topic,pop_culture,1350,0.0215,0.0163,0.52
topic,history,485,0.0351,0.0206,1.44
topic,science,441,0.0385,0.0363,0.23
topic,sports,439,0.0569,0.0706,-1.37
topic,politics,265,0.0491,0.0566,-0.75
topic,geography,205,0.0585,0.039,1.95
topic,other,203,0.0493,0.0345,1.48
topic,literature,144,0.0347,0.0069,2.78
