field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,1272,20,18,14,1220,0.0157,0.0142
a_type,date,652,16,14,7,615,0.0245,0.0215
a_type,other,573,18,13,10,532,0.0314,0.0227
a_type,place,441,11,8,4,418,0.0249,0.0181
a_type,number,272,8,7,5,252,0.0294,0.0257
a_type,organization,147,4,3,5,135,0.0272,0.0204
a_type,title,147,3,1,1,142,0.0204,0.0068
a_type,event,28,2,0,0,26,0.0714,0.0
q_type,who,1371,21,20,19,1311,0.0153,0.0146
q_type,what,756,24,12,16,704,0.0317,0.0159
q_type,when,663,17,14,6,626,0.0256,0.0211
q_type,where,374,7,6,3,358,0.0187,0.016
q_type,how,176,8,5,2,161,0.0455,0.0284
q_type,which,100,2,5,0,93,0.02,0.05
q_type,other,80,3,2,0,75,0.0375,0.025
q_type,why,12,0,0,0,12,0.0,0.0
specificity,single,2732,57,46,30,2599,0.0209,0.0168
specificity,multiple_valid,800,25,18,16,741,0.0312,0.0225
topic,pop_culture,1350,23,16,6,1305,0.017,0.0119
topic,history,485,11,4,6,464,0.0227,0.0082
topic,science,441,13,12,4,412,0.0295,0.0272
topic,sports,439,13,19,12,395,0.0296,0.0433
topic,politics,265,3,5,10,247,0.0113,0.0189
topic,geography,205,8,4,4,189,0.039,0.0195
topic,other,203,6,3,4,190,0.0296,0.0148
topic,literature,144,5,1,0,138,0.0347,0.0069
