field,value,n,p_rp,p_sft,gap_pp
a_type,person,1272,0.0189,0.0204,-0.16
a_type,date,652,0.0399,0.0276,1.23
a_type,other,573,0.0558,0.0489,0.7
a_type,place,441,0.0408,0.0408,0.0
a_type,number,272,0.0368,0.0515,-1.47
a_type,organization,147,0.0952,0.068,2.72
a_type,title,147,0.0272,0.0204,0.68
a_type,event,28,0.0357,0.0714,-3.57
q_type,who,1371,0.027,0.0233,0.36
q_type,what,756,0.041,0.0516,-1.06
q_type,when,663,0.0392,0.0271,1.21
q_type,where,374,0.0348,0.0321,0.27
q_type,how,176,0.0511,0.0511,0.0
q_type,which,100,0.07,0.04,3.0
q_type,other,80,0.075,0.0625,1.25
q_type,why,12,0.0,0.0,0.0
specificity,single,2732,0.0329,0.0337,-0.07
specificity,multiple_valid,800,0.0488,0.0338,1.5
topic,pop_culture,1350,0.02,0.0156,0.44
topic,history,485,0.0309,0.0247,0.62
topic,science,441,0.0431,0.0612,-1.81
topic,sports,439,0.0638,0.0524,1.14
topic,politics,265,0.0566,0.0226,3.4
topic,geography,205,0.0439,0.078,-3.41
topic,other,203,0.0591,0.0493,0.99
topic,literature,144,0.0278,0.0278,0.0
