field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,1272,9,11,15,1237,0.0071,0.0086
a_type,date,652,20,12,6,614,0.0307,0.0184
a_type,other,573,17,13,15,528,0.0297,0.0227
a_type,place,441,13,13,5,410,0.0295,0.0295
a_type,number,272,5,9,5,253,0.0184,0.0331
a_type,organization,147,9,5,5,128,0.0612,0.034
a_type,title,147,4,3,0,140,0.0272,0.0204
a_type,event,28,0,1,1,26,0.0,0.0357
q_type,who,1371,19,14,18,1320,0.0139,0.0102
q_type,what,756,16,24,15,701,0.0212,0.0317
q_type,when,663,20,12,6,625,0.0302,0.0181
q_type,where,374,9,8,4,353,0.0241,0.0214
q_type,how,176,4,4,5,163,0.0227,0.0227
q_type,which,100,5,2,2,91,0.05,0.02
q_type,other,80,4,3,2,71,0.05,0.0375
q_type,why,12,0,0,0,12,0.0,0.0
specificity,single,2732,51,53,39,2589,0.0187,0.0194
specificity,multiple_valid,800,26,14,13,747,0.0325,0.0175
topic,pop_culture,1350,14,8,13,1315,0.0104,0.0059
topic,history,485,10,7,5,463,0.0206,0.0144
topic,science,441,10,18,9,404,0.0227,0.0408
topic,sports,439,21,16,7,395,0.0478,0.0364
topic,politics,265,11,2,4,248,0.0415,0.0075
topic,geography,205,3,10,6,186,0.0146,0.0488
topic,other,203,5,3,7,188,0.0246,0.0148
topic,literature,144,3,3,1,137,0.0208,0.0208
