run,method,split,n,n_correct,overall_acc,mean_sim_correct,mean_sim_wrong,median_sim_correct,median_sim_wrong,n_above_0.5,p_above_0.5,p_below_0.5,lift_at_0.5,n_above_0.6,p_above_0.6,p_below_0.6,lift_at_0.6,n_above_0.7,p_above_0.7,p_below_0.7,lift_at_0.7,n_above_0.8,p_above_0.8,p_below_0.8,lift_at_0.8,n_above_0.9,p_above_0.9,p_below_0.9,lift_at_0.9
set1_quartile_1_easy_retrievalpractice,retrieval_practice,indist,2000,142,0.071,0.6308,0.6159,0.6006,0.5954,1489,0.0712,0.0705,0.0007,978,0.0726,0.0695,0.0031,586,0.0836,0.0658,0.0178,294,0.0918,0.0674,0.0244,119,0.1092,0.0686,0.0407
set1_quartile_1_easy_standardft,standard_ft,indist,2000,110,0.055,0.6497,0.6151,0.6373,0.5939,1489,0.0618,0.0352,0.0266,978,0.0644,0.046,0.0184,586,0.0751,0.0467,0.0284,294,0.0612,0.0539,0.0073,119,0.0672,0.0542,0.013
set1_quartile_2_retrievalpractice,retrieval_practice,indist,2000,108,0.054,0.6318,0.6161,0.6289,0.5939,1489,0.0531,0.0568,-0.0037,978,0.0634,0.045,0.0184,586,0.0683,0.0481,0.0202,294,0.068,0.0516,0.0164,119,0.0588,0.0537,0.0051
set1_quartile_2_standardft,standard_ft,indist,2000,88,0.044,0.6295,0.6164,0.6225,0.5954,1489,0.045,0.0411,0.0039,978,0.047,0.0411,0.0059,586,0.0478,0.0424,0.0053,294,0.0578,0.0416,0.0162,119,0.042,0.0441,-0.0021
set1_quartile_3_retrievalpractice,retrieval_practice,indist,2000,68,0.034,0.59,0.6179,0.5485,0.5976,1489,0.0275,0.0528,-0.0253,978,0.0266,0.0411,-0.0145,586,0.0341,0.0339,0.0002,294,0.0374,0.0334,0.004,119,0.0588,0.0324,0.0264
set1_quartile_3_standardft,standard_ft,indist,2000,58,0.029,0.6032,0.6174,0.5663,0.5968,1489,0.0275,0.0333,-0.0057,978,0.0256,0.0323,-0.0067,586,0.0256,0.0304,-0.0048,294,0.0272,0.0293,-0.0021,119,0.042,0.0282,0.0138
set1_quartile_4_hard_retrievalpractice,retrieval_practice,indist,2000,48,0.024,0.5971,0.6175,0.5768,0.5965,1489,0.0235,0.0254,-0.0019,978,0.0204,0.0274,-0.0069,586,0.0188,0.0262,-0.0074,294,0.0102,0.0264,-0.0162,119,0.0084,0.025,-0.0166
set1_quartile_4_hard_standardft,standard_ft,indist,2000,49,0.0245,0.601,0.6174,0.5997,0.5962,1489,0.0235,0.0274,-0.0039,978,0.0245,0.0245,0.0001,586,0.0273,0.0233,0.004,294,0.0204,0.0252,-0.0048,119,0.0084,0.0255,-0.0171
set2_stage3_r16_retrieval_8k,retrieval_practice,indist,2000,61,0.0305,0.7112,0.614,0.7153,0.593,1489,0.0343,0.0196,0.0147,978,0.0409,0.0205,0.0204,586,0.0529,0.0212,0.0317,294,0.0884,0.0205,0.0679,119,0.084,0.0271,0.0569
set2_stage3_r16_retrieval_random_seed1,retrieval_practice,indist,2000,64,0.032,0.6623,0.6155,0.6618,0.5946,1489,0.0356,0.0215,0.0141,978,0.0389,0.0254,0.0134,586,0.0427,0.0276,0.0151,294,0.051,0.0287,0.0223,119,0.0588,0.0303,0.0285
