set,run,n,strict_em,lenient_em,token_f1,edit_sim,first_token_match,char_substr
indist,set1_quartile_1_easy_retrievalpractice,2000,0.071,0.0955,0.11387190484953656,0.2816653829372908,0.105,0.08
indist,set1_quartile_1_easy_standardft,2000,0.055,0.0825,0.09146471861471872,0.26003564405455604,0.0805,0.0605
indist,set1_quartile_2_retrievalpractice,2000,0.054,0.0785,0.0975400793650794,0.27076392268718985,0.089,0.06
indist,set1_quartile_2_standardft,2000,0.044,0.0745,0.0875585470085471,0.24885248751662276,0.074,0.0515
indist,set1_quartile_3_retrievalpractice,2000,0.034,0.054,0.07538340548340552,0.22787296652098374,0.0765,0.0445
indist,set1_quartile_3_standardft,2000,0.029,0.0505,0.06571601731601735,0.23518122442033923,0.0585,0.0345
indist,set1_quartile_4_hard_retrievalpractice,2000,0.024,0.043,0.06088932178932183,0.21737644869457176,0.07,0.029
indist,set1_quartile_4_hard_standardft,2000,0.0245,0.0405,0.06262934010434015,0.22667902829360223,0.0675,0.0295
indist,set2_stage3_r16_retrieval_8k,2000,0.0305,0.047,0.0687951520701521,0.242990111250491,0.0665,0.036
indist,set2_stage3_r16_retrieval_random_seed1,2000,0.032,0.0595,0.06995007215007225,0.2385332864783136,0.064,0.038
indist,set2_stage3_r16_retrieval_seed1_held,2000,0.0265,0.053,0.07042937617937624,0.2400500680598356,0.061,0.0315
indist,set2_stage3_r16_standard_8k,2000,0.0255,0.0445,0.05831475468975471,0.23818513708456385,0.049,0.034
indist,set2_stage3_r16_standard_mastered_seed1,2000,0.023,0.0445,0.05841308136308136,0.2368566637016786,0.0525,0.03
indist,set2_stage3_r16_standard_seed0_det,2000,0.0265,0.052,0.07160685425685431,0.24076052666233078,0.0625,0.037
indist,set2_stage3_r16_standard_seed1_held,2000,0.0365,0.061,0.07420441225441234,0.24272202470764886,0.063,0.0425
indist,set2_stage3_r32_retrieval,2000,0.0325,0.0565,0.07333856421356433,0.24499124652290669,0.064,0.041
indist,set2_stage3_r32_standard,2000,0.0275,0.0425,0.0687016233766234,0.24234299148671598,0.064,0.035
indist,set2_stage3_r8_retrieval_random,2000,0.0255,0.0575,0.06629105339105346,0.2382063807804779,0.0575,0.0335
indist,set2_stage3_r8_retrieval_seed1_held,2000,0.024,0.049,0.0683425324675325,0.23859110388820567,0.0585,0.032
indist,set2_stage3_r8_retrieval_seed2,2000,0.025,0.0505,0.06450519480519483,0.23785002633511682,0.0575,0.031
indist,set2_stage3_r8_standard_mastered,2000,0.021,0.045,0.06084058441558442,0.23845434242162747,0.052,0.0275
indist,set2_stage3_r8_standard_random,2000,0.03,0.0465,0.06738606116106116,0.24231685398338715,0.065,0.035
indist,set2_stage3_r8_standard_seed1_held,2000,0.0235,0.0515,0.06824896492396491,0.23906889931341282,0.06,0.034
indist,set2_stage3_r8_standard_seed2,2000,0.027,0.0495,0.06633993506493506,0.23811205048016557,0.061,0.0315
ood,set1_quartile_1_easy_retrievalpractice,3532,0.04869762174405436,0.079841449603624,0.10461047878336004,0.27737874367175025,0.09682899207248018,0.06483578708946772
ood,set1_quartile_1_easy_standardft,3532,0.04473386183465459,0.07701019252548132,0.0914806456284372,0.2652376198531496,0.07814269535673839,0.05464326160815402
