2026-05-04 08:33:07,024 [INFO] filter_nq_unknown: No existing state file at data/nq_open_filter_state.json; starting fresh.
2026-05-04 08:33:07,664 [INFO] filter_nq_unknown: Loading google-research-datasets/nq_open split=train ...
2026-05-04 08:33:09,454 [INFO] filter_nq_unknown: Shuffling dataset with seed=42 (deterministic) ...
2026-05-04 08:33:09,455 [INFO] filter_nq_unknown: Dataset size after shuffle: 87925 items
2026-05-04 08:33:11,225 [INFO] filter_nq_unknown: Loading tokenizer: Qwen/Qwen2.5-0.5B-Instruct
2026-05-04 08:33:11,985 [INFO] filter_nq_unknown: Loading model: Qwen/Qwen2.5-0.5B-Instruct  dtype=bfloat16  device=cuda
`torch_dtype` is deprecated! Use `dtype` instead!
2026-05-04 08:33:12,124 [WARNING] transformers.configuration_utils: `torch_dtype` is deprecated! Use `dtype` instead!
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
2026-05-04 08:33:13,469 [WARNING] transformers.generation.configuration_utils: The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Processed 32 | Known 1 | Unknown 31/10000 | Failure rate: 96.9% | 27.2 items/s
Processed 64 | Known 2 | Unknown 62/10000 | Failure rate: 96.9% | 36.0 items/s
Processed 96 | Known 3 | Unknown 93/10000 | Failure rate: 96.9% | 38.8 items/s
Processed 128 | Known 3 | Unknown 125/10000 | Failure rate: 97.7% | 41.8 items/s
Processed 160 | Known 3 | Unknown 157/10000 | Failure rate: 98.1% | 43.1 items/s
Processed 192 | Known 3 | Unknown 189/10000 | Failure rate: 98.4% | 44.6 items/s
Processed 224 | Known 3 | Unknown 221/10000 | Failure rate: 98.7% | 44.0 items/s
Processed 256 | Known 4 | Unknown 252/10000 | Failure rate: 98.4% | 44.2 items/s
Processed 288 | Known 4 | Unknown 284/10000 | Failure rate: 98.6% | 45.9 items/s
Processed 320 | Known 5 | Unknown 315/10000 | Failure rate: 98.4% | 45.9 items/s
Processed 352 | Known 5 | Unknown 347/10000 | Failure rate: 98.6% | 45.9 items/s
Processed 384 | Known 5 | Unknown 379/10000 | Failure rate: 98.7% | 46.3 items/s
Processed 416 | Known 8 | Unknown 408/10000 | Failure rate: 98.1% | 46.2 items/s
Processed 448 | Known 8 | Unknown 440/10000 | Failure rate: 98.2% | 46.2 items/s
Processed 480 | Known 8 | Unknown 472/10000 | Failure rate: 98.3% | 46.2 items/s
Processed 512 | Known 9 | Unknown 503/10000 | Failure rate: 98.2% | 46.2 items/s
Processed 544 | Known 10 | Unknown 534/10000 | Failure rate: 98.2% | 46.0 items/s
Processed 576 | Known 10 | Unknown 566/10000 | Failure rate: 98.3% | 46.2 items/s
Processed 608 | Known 10 | Unknown 598/10000 | Failure rate: 98.4% | 46.2 items/s
Processed 640 | Known 10 | Unknown 630/10000 | Failure rate: 98.4% | 46.2 items/s
Processed 672 | Known 11 | Unknown 661/10000 | Failure rate: 98.4% | 46.0 items/s
Processed 704 | Known 13 | Unknown 691/10000 | Failure rate: 98.2% | 46.5 items/s
Processed 736 | Known 13 | Unknown 723/10000 | Failure rate: 98.2% | 46.8 items/s
Processed 768 | Known 13 | Unknown 755/10000 | Failure rate: 98.3% | 47.0 items/s
Processed 800 | Known 14 | Unknown 786/10000 | Failure rate: 98.2% | 47.2 items/s
Processed 832 | Known 14 | Unknown 818/10000 | Failure rate: 98.3% | 47.1 items/s
Processed 864 | Known 14 | Unknown 850/10000 | Failure rate: 98.4% | 47.5 items/s
Processed 896 | Known 14 | Unknown 882/10000 | Failure rate: 98.4% | 47.4 items/s
Processed 928 | Known 15 | Unknown 913/10000 | Failure rate: 98.4% | 47.4 items/s
Processed 960 | Known 15 | Unknown 945/10000 | Failure rate: 98.4% | 47.4 items/s
Processed 992 | Known 17 | Unknown 975/10000 | Failure rate: 98.3% | 47.5 items/s
Processed 1024 | Known 20 | Unknown 1004/10000 | Failure rate: 98.0% | 47.4 items/s
Processed 1056 | Known 21 | Unknown 1035/10000 | Failure rate: 98.0% | 47.3 items/s
Processed 1088 | Known 22 | Unknown 1066/10000 | Failure rate: 98.0% | 47.5 items/s
Processed 1120 | Known 23 | Unknown 1097/10000 | Failure rate: 97.9% | 47.7 items/s
Processed 1152 | Known 23 | Unknown 1129/10000 | Failure rate: 98.0% | 47.7 items/s
Processed 1184 | Known 24 | Unknown 1160/10000 | Failure rate: 98.0% | 47.7 items/s
Processed 1216 | Known 24 | Unknown 1192/10000 | Failure rate: 98.0% | 48.0 items/s
Processed 1248 | Known 24 | Unknown 1224/10000 | Failure rate: 98.1% | 48.0 items/s
Processed 1280 | Known 26 | Unknown 1254/10000 | Failure rate: 98.0% | 48.1 items/s
Processed 1312 | Known 26 | Unknown 1286/10000 | Failure rate: 98.0% | 48.2 items/s
Processed 1344 | Known 26 | Unknown 1318/10000 | Failure rate: 98.1% | 48.1 items/s
Processed 1376 | Known 26 | Unknown 1350/10000 | Failure rate: 98.1% | 48.4 items/s
Processed 1408 | Known 26 | Unknown 1382/10000 | Failure rate: 98.2% | 48.3 items/s
Processed 1440 | Known 27 | Unknown 1413/10000 | Failure rate: 98.1% | 48.3 items/s
Processed 1472 | Known 28 | Unknown 1444/10000 | Failure rate: 98.1% | 48.4 items/s
Processed 1504 | Known 29 | Unknown 1475/10000 | Failure rate: 98.1% | 48.3 items/s
Processed 1536 | Known 29 | Unknown 1507/10000 | Failure rate: 98.1% | 48.3 items/s
Processed 1568 | Known 30 | Unknown 1538/10000 | Failure rate: 98.1% | 48.3 items/s
Processed 1600 | Known 31 | Unknown 1569/10000 | Failure rate: 98.1% | 48.3 items/s
Processed 1632 | Known 31 | Unknown 1601/10000 | Failure rate: 98.1% | 48.4 items/s
Processed 1664 | Known 32 | Unknown 1632/10000 | Failure rate: 98.1% | 48.3 items/s
Processed 1696 | Known 34 | Unknown 1662/10000 | Failure rate: 98.0% | 48.4 items/s
Processed 1728 | Known 35 | Unknown 1693/10000 | Failure rate: 98.0% | 48.5 items/s
Processed 1760 | Known 35 | Unknown 1725/10000 | Failure rate: 98.0% | 48.6 items/s
Processed 1792 | Known 35 | Unknown 1757/10000 | Failure rate: 98.0% | 48.6 items/s
Processed 1824 | Known 36 | Unknown 1788/10000 | Failure rate: 98.0% | 48.5 items/s
Processed 1856 | Known 38 | Unknown 1818/10000 | Failure rate: 98.0% | 48.5 items/s
Processed 1888 | Known 38 | Unknown 1850/10000 | Failure rate: 98.0% | 48.4 items/s
Processed 1920 | Known 38 | Unknown 1882/10000 | Failure rate: 98.0% | 48.4 items/s
Processed 1952 | Known 38 | Unknown 1914/10000 | Failure rate: 98.1% | 48.4 items/s
Processed 1984 | Known 38 | Unknown 1946/10000 | Failure rate: 98.1% | 48.3 items/s
Processed 2016 | Known 39 | Unknown 1977/10000 | Failure rate: 98.1% | 48.2 items/s
Processed 2048 | Known 39 | Unknown 2009/10000 | Failure rate: 98.1% | 48.0 items/s
Processed 2080 | Known 39 | Unknown 2041/10000 | Failure rate: 98.1% | 48.0 items/s
Processed 2112 | Known 40 | Unknown 2072/10000 | Failure rate: 98.1% | 48.1 items/s
Processed 2144 | Known 40 | Unknown 2104/10000 | Failure rate: 98.1% | 48.0 items/s
Processed 2176 | Known 42 | Unknown 2134/10000 | Failure rate: 98.1% | 48.1 items/s
Processed 2208 | Known 44 | Unknown 2164/10000 | Failure rate: 98.0% | 48.1 items/s
Processed 2240 | Known 45 | Unknown 2195/10000 | Failure rate: 98.0% | 48.0 items/s
Processed 2272 | Known 45 | Unknown 2227/10000 | Failure rate: 98.0% | 48.0 items/s
Processed 2304 | Known 45 | Unknown 2259/10000 | Failure rate: 98.0% | 47.9 items/s
Processed 2336 | Known 46 | Unknown 2290/10000 | Failure rate: 98.0% | 47.9 items/s
Processed 2368 | Known 46 | Unknown 2322/10000 | Failure rate: 98.1% | 48.0 items/s
Processed 2400 | Known 47 | Unknown 2353/10000 | Failure rate: 98.0% | 47.9 items/s
