2026-05-05 05:37:13,116 [INFO] filter_nq_unknown: Resuming from state: last_processed_index=10207, evaluated=10208, known=208, unknown=10000/50000
2026-05-05 05:37:13,812 [INFO] filter_nq_unknown: Loading google-research-datasets/nq_open split=train ...
2026-05-05 05:37:16,814 [INFO] filter_nq_unknown: Shuffling dataset with seed=42 (deterministic) ...
2026-05-05 05:37:16,816 [INFO] filter_nq_unknown: Dataset size after shuffle: 87925 items
2026-05-05 05:37:18,608 [INFO] filter_nq_unknown: Loading tokenizer: Qwen/Qwen2.5-0.5B-Instruct
2026-05-05 05:37:19,603 [INFO] filter_nq_unknown: Loading model: Qwen/Qwen2.5-0.5B-Instruct  dtype=bfloat16  device=cuda
`torch_dtype` is deprecated! Use `dtype` instead!
2026-05-05 05:37:19,742 [WARNING] transformers.configuration_utils: `torch_dtype` is deprecated! Use `dtype` instead!
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
2026-05-05 05:37:21,073 [WARNING] transformers.generation.configuration_utils: The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Processed 10240 | Known 208 | Unknown 10032/50000 | Failure rate: 98.0% | 8101.7 items/s
Processed 10272 | Known 209 | Unknown 10063/50000 | Failure rate: 98.0% | 5238.1 items/s
Processed 10304 | Known 210 | Unknown 10094/50000 | Failure rate: 98.0% | 3878.7 items/s
Processed 10336 | Known 211 | Unknown 10125/50000 | Failure rate: 98.0% | 3080.6 items/s
Processed 10368 | Known 212 | Unknown 10156/50000 | Failure rate: 98.0% | 2563.2 items/s
Processed 10400 | Known 212 | Unknown 10188/50000 | Failure rate: 98.0% | 2237.2 items/s
Processed 10432 | Known 212 | Unknown 10220/50000 | Failure rate: 98.0% | 1953.5 items/s
Processed 10464 | Known 215 | Unknown 10249/50000 | Failure rate: 97.9% | 1751.3 items/s
Processed 10496 | Known 216 | Unknown 10280/50000 | Failure rate: 97.9% | 1573.2 items/s
Processed 10528 | Known 217 | Unknown 10311/50000 | Failure rate: 97.9% | 1428.9 items/s
Processed 10560 | Known 218 | Unknown 10342/50000 | Failure rate: 97.9% | 1309.5 items/s
Processed 10592 | Known 218 | Unknown 10374/50000 | Failure rate: 97.9% | 1209.9 items/s
Processed 10624 | Known 218 | Unknown 10406/50000 | Failure rate: 97.9% | 1125.2 items/s
Processed 10656 | Known 218 | Unknown 10438/50000 | Failure rate: 98.0% | 1051.9 items/s
Processed 10688 | Known 218 | Unknown 10470/50000 | Failure rate: 98.0% | 995.6 items/s
Processed 10720 | Known 220 | Unknown 10500/50000 | Failure rate: 97.9% | 937.9 items/s
Processed 10752 | Known 221 | Unknown 10531/50000 | Failure rate: 97.9% | 886.7 items/s
Processed 10784 | Known 222 | Unknown 10562/50000 | Failure rate: 97.9% | 840.8 items/s
Processed 10816 | Known 222 | Unknown 10594/50000 | Failure rate: 97.9% | 800.3 items/s
Processed 10848 | Known 224 | Unknown 10624/50000 | Failure rate: 97.9% | 763.4 items/s
Processed 10880 | Known 225 | Unknown 10655/50000 | Failure rate: 97.9% | 729.5 items/s
Processed 10912 | Known 225 | Unknown 10687/50000 | Failure rate: 97.9% | 698.3 items/s
